cell_definition,check,id,status
zone_1,sbml_file,./config/hepatonet_fastcore_validated.xml,present
zone_1,objective_reaction,R_r1032,present
zone_1,exchange:oxygen,R_EX_HC00017_s,present
zone_1,exchange:glucose,R_EX_HC00040_s,present
zone_1,exchange:lactate,R_EX_HC00177_s,present
zone_1,exchange:CO2,R_EX_HC00021_s,present
zone_2,sbml_file,./config/hepatonet_fastcore_validated.xml,present
zone_2,objective_reaction,R_r1032,present
zone_2,exchange:oxygen,R_EX_HC00017_s,present
zone_2,exchange:glucose,R_EX_HC00040_s,present
zone_2,exchange:lactate,R_EX_HC00177_s,present
zone_2,exchange:CO2,R_EX_HC00021_s,present
zone_3,sbml_file,./config/hepatonet_zone3_fastcore_validated.xml,present
zone_3,objective_reaction,R_r1389,present
zone_3,exchange:oxygen,R_EX_HC00017_s,present
zone_3,exchange:glucose,R_EX_HC00040_s,present
zone_3,exchange:CO2,R_EX_HC00021_s,present
zone_3,exchange:lactate,R_EX_HC00177_s,present
