iteration,mode,remaining_core,lp7_status,lp7_value,lp10_status,lp10_value,active_targets,support_added,reconstruction_size,core_covered,ignored_core
1,batch,1327,optimal,200.00000000000003,optimal,0.0,200,205,205,205,0
2,batch,1122,optimal,125.00000000000487,optimal,0.012680451644784657,125,161,366,332,0
3,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
4,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
5,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
6,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
7,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
8,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
9,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
10,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
11,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
12,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
13,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
14,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
15,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
16,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
17,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
18,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
19,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
20,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
21,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
22,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
23,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
24,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
25,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
26,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
27,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
28,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
29,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
30,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
31,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
32,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
33,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
34,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
35,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
36,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
37,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
38,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
39,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
40,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
41,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
42,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
43,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
44,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
45,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
46,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
47,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
48,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
49,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
50,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
51,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
52,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
53,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
54,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
55,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
56,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
57,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
58,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
59,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
60,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
61,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
62,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
63,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
64,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
65,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
66,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
67,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
68,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
69,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
70,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
71,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
72,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
73,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
74,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
75,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
76,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
77,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
78,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
79,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
80,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
81,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
82,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
83,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
84,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
85,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
86,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
87,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
88,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
89,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
90,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
91,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
92,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
93,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
94,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
95,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
96,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
97,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
98,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
99,batch,995,optimal,85.00000000000003,optimal,0.0,85,0,366,332,0
