iteration,mode,remaining_core,lp7_status,lp7_value,active_targets,support_added,reconstruction_size,ignored_reaction,lp10_status,lp10_value,core_covered,ignored_core
1,switch_to_singleton,1336,infeasible,0.0,0,0,0,,,,,
2,ignore_inconsistent_core,1336,optimal,0.0,0,0,0,EX_HC00011_s,,,,
3,singleton,1335,optimal,1.0,1,70,70,,optimal,1.4306047494420862e-15,70.0,1.0
4,batch,1266,optimal,331.9999999995022,332,357,427,,optimal,0.012686725861338238,384.0,1.0
5,batch,952,optimal,63.99999997155875,64,30,457,,optimal,1.200000000015059e-05,403.0,1.0
6,batch,933,optimal,60.99999990607909,61,33,490,,optimal,4.000000000007268e-06,425.0,1.0
7,batch,911,optimal,53.0,53,6,496,,optimal,-2.3847447544231213e-16,431.0,1.0
8,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
9,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
10,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
11,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
12,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
13,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
14,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
15,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
16,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
17,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
18,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
19,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
20,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
21,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
22,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
23,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
24,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
25,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
26,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
27,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
28,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
29,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
30,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
31,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
32,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
33,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
34,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
35,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
36,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
37,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
38,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
39,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
40,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
41,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
42,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
43,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
44,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
45,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
46,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
47,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
48,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
49,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
50,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
51,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
52,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
53,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
54,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
55,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
56,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
57,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
58,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
59,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
60,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
61,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
62,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
63,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
64,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
65,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
66,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
67,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
68,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
69,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
70,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
71,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
72,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
73,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
74,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
75,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
76,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
77,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
78,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
79,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
80,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
81,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
82,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
83,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
84,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
85,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
86,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
87,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
88,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
89,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
90,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
91,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
92,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
93,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
94,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
95,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
96,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
97,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
98,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
99,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
100,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
101,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
102,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
103,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
104,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
105,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
106,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
107,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
108,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
109,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
110,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
111,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
112,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
113,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
114,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
115,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
116,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
117,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
118,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
119,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
120,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
121,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
122,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
123,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
124,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
125,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
126,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
127,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
128,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
129,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
130,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
131,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
132,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
133,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
134,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
135,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
136,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
137,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
138,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
139,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
140,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
141,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
142,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
143,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
144,batch,905,optimal,52.000000002894794,52,0,496,,optimal,1.3679010648475018e-15,431.0,1.0
